"Notes"	"State"	"State Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m^2)
	"Alabama"	"01"	"Oct, 1988"	"1988/10"	15023.67
	"Alabama"	"01"	"Nov, 1988"	"1988/11"	11193.23
	"Alabama"	"01"	"Dec, 1988"	"1988/12"	9114.69
	"Alabama"	"01"	"Jan, 1989"	"1989/01"	9852.99
	"Alabama"	"01"	"Feb, 1989"	"1989/02"	11248.96
	"Alabama"	"01"	"Mar, 1989"	"1989/03"	16587.57
	"Alabama"	"01"	"Apr, 1989"	"1989/04"	19977.22
	"Alabama"	"01"	"May, 1989"	"1989/05"	23307.59
	"Alabama"	"01"	"Jun, 1989"	"1989/06"	19829.77
	"Alabama"	"01"	"Jul, 1989"	"1989/07"	20575.93
	"Alabama"	"01"	"Aug, 1989"	"1989/08"	19606.13
	"Alabama"	"01"	"Sep, 1989"	"1989/09"	15448.35
	"Alabama"	"01"	"Oct, 1989"	"1989/10"	16296.55
	"Alabama"	"01"	"Nov, 1989"	"1989/11"	11123.88
	"Alabama"	"01"	"Dec, 1989"	"1989/12"	8450.77
	"Alabama"	"01"	"Jan, 1990"	"1990/01"	9159.14
	"Alabama"	"01"	"Feb, 1990"	"1990/02"	11880.84
	"Alabama"	"01"	"Mar, 1990"	"1990/03"	15816.40
	"Alabama"	"01"	"Apr, 1990"	"1990/04"	20353.32
	"Alabama"	"01"	"May, 1990"	"1990/05"	23335.22
	"Alabama"	"01"	"Jun, 1990"	"1990/06"	23992.86
	"Alabama"	"01"	"Jul, 1990"	"1990/07"	22740.37
	"Alabama"	"01"	"Aug, 1990"	"1990/08"	22481.17
	"Alabama"	"01"	"Sep, 1990"	"1990/09"	19072.39
	"Alabama"	"01"	"Oct, 1990"	"1990/10"	16309.39
	"Alabama"	"01"	"Nov, 1990"	"1990/11"	11936.79
	"Alabama"	"01"	"Dec, 1990"	"1990/12"	8630.98
	"Alabama"	"01"	"Jan, 1991"	"1991/01"	8497.67
	"Alabama"	"01"	"Feb, 1991"	"1991/02"	11366.01
	"Alabama"	"01"	"Mar, 1991"	"1991/03"	17243.19
	"Alabama"	"01"	"Apr, 1991"	"1991/04"	17627.95
	"Alabama"	"01"	"May, 1991"	"1991/05"	18311.24
	"Alabama"	"01"	"Jun, 1991"	"1991/06"	21071.97
	"Alabama"	"01"	"Jul, 1991"	"1991/07"	20704.87
	"Alabama"	"01"	"Aug, 1991"	"1991/08"	19311.49
	"Alabama"	"01"	"Sep, 1991"	"1991/09"	17245.31
	"Alabama"	"01"	"Oct, 1991"	"1991/10"	16631.59
	"Alabama"	"01"	"Nov, 1991"	"1991/11"	11605.71
	"Alabama"	"01"	"Dec, 1991"	"1991/12"	9438.42
	"Alabama"	"01"	"Jan, 1992"	"1992/01"	9042.43
	"Alabama"	"01"	"Feb, 1992"	"1992/02"	12075.35
	"Alabama"	"01"	"Mar, 1992"	"1992/03"	16962.83
	"Alabama"	"01"	"Apr, 1992"	"1992/04"	19605.27
	"Alabama"	"01"	"May, 1992"	"1992/05"	24189.41
	"Alabama"	"01"	"Jun, 1992"	"1992/06"	22138.33
	"Alabama"	"01"	"Jul, 1992"	"1992/07"	22480.12
	"Alabama"	"01"	"Aug, 1992"	"1992/08"	20222.13
	"Alabama"	"01"	"Sep, 1992"	"1992/09"	16272.47
	"Alabama"	"01"	"Oct, 1992"	"1992/10"	15770.80
	"Alabama"	"01"	"Nov, 1992"	"1992/11"	10721.47
	"Alabama"	"01"	"Dec, 1992"	"1992/12"	8385.96
	"Alabama"	"01"	"Jan, 1993"	"1993/01"	8416.49
	"Alabama"	"01"	"Feb, 1993"	"1993/02"	12817.84
	"Alabama"	"01"	"Mar, 1993"	"1993/03"	15457.69
	"Alabama"	"01"	"Apr, 1993"	"1993/04"	20012.37
	"Alabama"	"01"	"May, 1993"	"1993/05"	22118.84
	"Alabama"	"01"	"Jun, 1993"	"1993/06"	23214.61
	"Alabama"	"01"	"Jul, 1993"	"1993/07"	23175.75
	"Alabama"	"01"	"Aug, 1993"	"1993/08"	20046.19
	"Alabama"	"01"	"Sep, 1993"	"1993/09"	17721.58
	"Alabama"	"01"	"Oct, 1993"	"1993/10"	14368.19
	"Alabama"	"01"	"Nov, 1993"	"1993/11"	11189.13
	"Alabama"	"01"	"Dec, 1993"	"1993/12"	9033.04
	"Alabama"	"01"	"Jan, 1994"	"1994/01"	9215.81
	"Alabama"	"01"	"Feb, 1994"	"1994/02"	11816.25
	"Alabama"	"01"	"Mar, 1994"	"1994/03"	17022.94
	"Alabama"	"01"	"Apr, 1994"	"1994/04"	20821.10
	"Alabama"	"01"	"May, 1994"	"1994/05"	23682.84
	"Alabama"	"01"	"Jun, 1994"	"1994/06"	20430.64
	"Alabama"	"01"	"Jul, 1994"	"1994/07"	20252.86
	"Alabama"	"01"	"Aug, 1994"	"1994/08"	20996.70
	"Alabama"	"01"	"Sep, 1994"	"1994/09"	18380.55
	"Alabama"	"01"	"Oct, 1994"	"1994/10"	13615.20
	"Alabama"	"01"	"Nov, 1994"	"1994/11"	11028.80
	"Alabama"	"01"	"Dec, 1994"	"1994/12"	8862.79
	"Alabama"	"01"	"Jan, 1995"	"1995/01"	9967.73
	"Alabama"	"01"	"Feb, 1995"	"1995/02"	11650.12
	"Alabama"	"01"	"Mar, 1995"	"1995/03"	16670.60
	"Alabama"	"01"	"Apr, 1995"	"1995/04"	21107.10
	"Alabama"	"01"	"May, 1995"	"1995/05"	23668.40
	"Alabama"	"01"	"Jun, 1995"	"1995/06"	23928.04
	"Alabama"	"01"	"Jul, 1995"	"1995/07"	24110.01
	"Alabama"	"01"	"Aug, 1995"	"1995/08"	20785.73
	"Alabama"	"01"	"Sep, 1995"	"1995/09"	18451.90
	"Alabama"	"01"	"Oct, 1995"	"1995/10"	15402.70
	"Alabama"	"01"	"Nov, 1995"	"1995/11"	10754.45
	"Alabama"	"01"	"Dec, 1995"	"1995/12"	9589.05
	"Alabama"	"01"	"Jan, 1996"	"1996/01"	9457.58
	"Alabama"	"01"	"Feb, 1996"	"1996/02"	12892.99
	"Alabama"	"01"	"Mar, 1996"	"1996/03"	15921.90
	"Alabama"	"01"	"Apr, 1996"	"1996/04"	20998.76
	"Alabama"	"01"	"May, 1996"	"1996/05"	25287.10
	"Alabama"	"01"	"Jun, 1996"	"1996/06"	22781.17
	"Alabama"	"01"	"Jul, 1996"	"1996/07"	23553.12
	"Alabama"	"01"	"Aug, 1996"	"1996/08"	20697.08
	"Alabama"	"01"	"Sep, 1996"	"1996/09"	17314.32
	"Alabama"	"01"	"Oct, 1996"	"1996/10"	15463.61
	"Alabama"	"01"	"Nov, 1996"	"1996/11"	9963.96
	"Alabama"	"01"	"Dec, 1996"	"1996/12"	8835.77
	"Alabama"	"01"	"Jan, 1997"	"1997/01"	9259.79
	"Alabama"	"01"	"Feb, 1997"	"1997/02"	10922.76
	"Alabama"	"01"	"Mar, 1997"	"1997/03"	17087.55
	"Alabama"	"01"	"Apr, 1997"	"1997/04"	19482.80
	"Alabama"	"01"	"May, 1997"	"1997/05"	22453.17
	"Alabama"	"01"	"Jun, 1997"	"1997/06"	19526.88
	"Alabama"	"01"	"Jul, 1997"	"1997/07"	22969.30
	"Alabama"	"01"	"Aug, 1997"	"1997/08"	21017.73
	"Alabama"	"01"	"Sep, 1997"	"1997/09"	18863.80
	"Alabama"	"01"	"Oct, 1997"	"1997/10"	15158.68
	"Alabama"	"01"	"Nov, 1997"	"1997/11"	10119.46
	"Alabama"	"01"	"Dec, 1997"	"1997/12"	8728.73
	"Alabama"	"01"	"Jan, 1998"	"1998/01"	9286.95
	"Alabama"	"01"	"Feb, 1998"	"1998/02"	11511.10
	"Alabama"	"01"	"Mar, 1998"	"1998/03"	15605.39
	"Alabama"	"01"	"Apr, 1998"	"1998/04"	19161.30
	"Alabama"	"01"	"May, 1998"	"1998/05"	24981.86
	"Alabama"	"01"	"Jun, 1998"	"1998/06"	26211.34
	"Alabama"	"01"	"Jul, 1998"	"1998/07"	21892.51
	"Alabama"	"01"	"Aug, 1998"	"1998/08"	22586.81
	"Alabama"	"01"	"Sep, 1998"	"1998/09"	18567.31
	"Alabama"	"01"	"Oct, 1998"	"1998/10"	16857.81
	"Alabama"	"01"	"Nov, 1998"	"1998/11"	10632.91
	"Alabama"	"01"	"Dec, 1998"	"1998/12"	8518.11
	"Alabama"	"01"	"Jan, 1999"	"1999/01"	9749.71
	"Alabama"	"01"	"Feb, 1999"	"1999/02"	13195.84
	"Alabama"	"01"	"Mar, 1999"	"1999/03"	16443.44
	"Alabama"	"01"	"Apr, 1999"	"1999/04"	20482.56
	"Alabama"	"01"	"May, 1999"	"1999/05"	24016.08
	"Alabama"	"01"	"Jun, 1999"	"1999/06"	21363.28
	"Alabama"	"01"	"Jul, 1999"	"1999/07"	22773.46
	"Alabama"	"01"	"Aug, 1999"	"1999/08"	24494.28
	"Alabama"	"01"	"Sep, 1999"	"1999/09"	19652.86
	"Alabama"	"01"	"Oct, 1999"	"1999/10"	16568.93
	"Alabama"	"01"	"Nov, 1999"	"1999/11"	12377.67
	"Alabama"	"01"	"Dec, 1999"	"1999/12"	9966.80
	"Alabama"	"01"	"Jan, 2000"	"2000/01"	9636.06
	"Alabama"	"01"	"Feb, 2000"	"2000/02"	14420.81
	"Alabama"	"01"	"Mar, 2000"	"2000/03"	17443.92
	"Alabama"	"01"	"Apr, 2000"	"2000/04"	20133.57
	"Alabama"	"01"	"May, 2000"	"2000/05"	25477.74
	"Alabama"	"01"	"Jun, 2000"	"2000/06"	23897.00
	"Alabama"	"01"	"Jul, 2000"	"2000/07"	25867.27
	"Alabama"	"01"	"Aug, 2000"	"2000/08"	24000.94
	"Alabama"	"01"	"Sep, 2000"	"2000/09"	16863.78
	"Alabama"	"01"	"Oct, 2000"	"2000/10"	17513.84
	"Alabama"	"01"	"Nov, 2000"	"2000/11"	10146.33
	"Alabama"	"01"	"Dec, 2000"	"2000/12"	9009.84
	"Alabama"	"01"	"Jan, 2001"	"2001/01"	9514.40
	"Alabama"	"01"	"Feb, 2001"	"2001/02"	11890.38
	"Alabama"	"01"	"Mar, 2001"	"2001/03"	15258.66
	"Alabama"	"01"	"Apr, 2001"	"2001/04"	20803.07
	"Alabama"	"01"	"May, 2001"	"2001/05"	23521.66
	"Alabama"	"01"	"Jun, 2001"	"2001/06"	22057.69
	"Alabama"	"01"	"Jul, 2001"	"2001/07"	23083.81
	"Alabama"	"01"	"Aug, 2001"	"2001/08"	21159.18
	"Alabama"	"01"	"Sep, 2001"	"2001/09"	17508.78
	"Alabama"	"01"	"Oct, 2001"	"2001/10"	16928.25
	"Alabama"	"01"	"Nov, 2001"	"2001/11"	12198.02
	"Alabama"	"01"	"Dec, 2001"	"2001/12"	9499.29
	"Alabama"	"01"	"Jan, 2002"	"2002/01"	9901.44
	"Alabama"	"01"	"Feb, 2002"	"2002/02"	13542.21
	"Alabama"	"01"	"Mar, 2002"	"2002/03"	17010.31
	"Alabama"	"01"	"Apr, 2002"	"2002/04"	19231.80
	"Alabama"	"01"	"May, 2002"	"2002/05"	24179.16
	"Alabama"	"01"	"Jun, 2002"	"2002/06"	22699.29
	"Alabama"	"01"	"Jul, 2002"	"2002/07"	22493.91
	"Alabama"	"01"	"Aug, 2002"	"2002/08"	21771.56
	"Alabama"	"01"	"Sep, 2002"	"2002/09"	16700.78
	"Alabama"	"01"	"Oct, 2002"	"2002/10"	13113.69
	"Alabama"	"01"	"Nov, 2002"	"2002/11"	10581.22
	"Alabama"	"01"	"Dec, 2002"	"2002/12"	9202.76
	"Alabama"	"01"	"Jan, 2003"	"2003/01"	10464.25
	"Alabama"	"01"	"Feb, 2003"	"2003/02"	11800.47
	"Alabama"	"01"	"Mar, 2003"	"2003/03"	16712.65
	"Alabama"	"01"	"Apr, 2003"	"2003/04"	20517.92
	"Alabama"	"01"	"May, 2003"	"2003/05"	22806.28
	"Alabama"	"01"	"Jun, 2003"	"2003/06"	22535.36
	"Alabama"	"01"	"Jul, 2003"	"2003/07"	22393.56
	"Alabama"	"01"	"Aug, 2003"	"2003/08"	20298.47
	"Alabama"	"01"	"Sep, 2003"	"2003/09"	19409.02
	"Alabama"	"01"	"Oct, 2003"	"2003/10"	15412.96
	"Alabama"	"01"	"Nov, 2003"	"2003/11"	11647.20
	"Alabama"	"01"	"Dec, 2003"	"2003/12"	10371.87
	"Alabama"	"01"	"Jan, 2004"	"2004/01"	10121.74
	"Alabama"	"01"	"Feb, 2004"	"2004/02"	10576.19
	"Alabama"	"01"	"Mar, 2004"	"2004/03"	18304.60
	"Alabama"	"01"	"Apr, 2004"	"2004/04"	20978.44
	"Alabama"	"01"	"May, 2004"	"2004/05"	22652.99
	"Alabama"	"01"	"Jun, 2004"	"2004/06"	20014.28
	"Alabama"	"01"	"Jul, 2004"	"2004/07"	25115.63
	"Alabama"	"01"	"Aug, 2004"	"2004/08"	22234.80
	"Alabama"	"01"	"Sep, 2004"	"2004/09"	18522.19
	"Alabama"	"01"	"Oct, 2004"	"2004/10"	14458.01
	"Alabama"	"01"	"Nov, 2004"	"2004/11"	10362.45
	"Alabama"	"01"	"Dec, 2004"	"2004/12"	10104.50
	"Alabama"	"01"	"Jan, 2005"	"2005/01"	10445.05
	"Alabama"	"01"	"Feb, 2005"	"2005/02"	11809.57
	"Alabama"	"01"	"Mar, 2005"	"2005/03"	16311.23
	"Alabama"	"01"	"Apr, 2005"	"2005/04"	20230.70
	"Alabama"	"01"	"May, 2005"	"2005/05"	24506.06
	"Alabama"	"01"	"Jun, 2005"	"2005/06"	22179.50
	"Alabama"	"01"	"Jul, 2005"	"2005/07"	22484.59
	"Alabama"	"01"	"Aug, 2005"	"2005/08"	19887.25
	"Alabama"	"01"	"Sep, 2005"	"2005/09"	20425.00
	"Alabama"	"01"	"Oct, 2005"	"2005/10"	16557.53
	"Alabama"	"01"	"Nov, 2005"	"2005/11"	11567.33
	"Alabama"	"01"	"Dec, 2005"	"2005/12"	9740.10
	"Alabama"	"01"	"Jan, 2006"	"2006/01"	10423.29
	"Alabama"	"01"	"Feb, 2006"	"2006/02"	11861.35
	"Alabama"	"01"	"Mar, 2006"	"2006/03"	17677.34
	"Alabama"	"01"	"Apr, 2006"	"2006/04"	21500.53
	"Alabama"	"01"	"May, 2006"	"2006/05"	23991.30
	"Alabama"	"01"	"Jun, 2006"	"2006/06"	26001.04
	"Alabama"	"01"	"Jul, 2006"	"2006/07"	24768.78
	"Alabama"	"01"	"Aug, 2006"	"2006/08"	21090.63
	"Alabama"	"01"	"Sep, 2006"	"2006/09"	18145.31
	"Alabama"	"01"	"Oct, 2006"	"2006/10"	15879.04
	"Alabama"	"01"	"Nov, 2006"	"2006/11"	11842.57
	"Alabama"	"01"	"Dec, 2006"	"2006/12"	10023.91
	"Alabama"	"01"	"Jan, 2007"	"2007/01"	9635.08
	"Alabama"	"01"	"Feb, 2007"	"2007/02"	12789.77
	"Alabama"	"01"	"Mar, 2007"	"2007/03"	18879.18
	"Alabama"	"01"	"Apr, 2007"	"2007/04"	20109.92
	"Alabama"	"01"	"May, 2007"	"2007/05"	26004.51
	"Alabama"	"01"	"Jun, 2007"	"2007/06"	24112.33
	"Alabama"	"01"	"Jul, 2007"	"2007/07"	22380.69
	"Alabama"	"01"	"Aug, 2007"	"2007/08"	23127.87
	"Alabama"	"01"	"Sep, 2007"	"2007/09"	18832.85
	"Alabama"	"01"	"Oct, 2007"	"2007/10"	15437.26
	"Alabama"	"01"	"Nov, 2007"	"2007/11"	11967.13
	"Alabama"	"01"	"Dec, 2007"	"2007/12"	9509.83
	"Alabama"	"01"	"Jan, 2008"	"2008/01"	10020.71
	"Alabama"	"01"	"Feb, 2008"	"2008/02"	13113.59
	"Alabama"	"01"	"Mar, 2008"	"2008/03"	18060.01
	"Alabama"	"01"	"Apr, 2008"	"2008/04"	20943.49
	"Alabama"	"01"	"May, 2008"	"2008/05"	23853.14
	"Alabama"	"01"	"Jun, 2008"	"2008/06"	24298.66
	"Alabama"	"01"	"Jul, 2008"	"2008/07"	24227.92
	"Alabama"	"01"	"Aug, 2008"	"2008/08"	20851.70
	"Alabama"	"01"	"Sep, 2008"	"2008/09"	18836.93
	"Alabama"	"01"	"Oct, 2008"	"2008/10"	16179.52
	"Alabama"	"01"	"Nov, 2008"	"2008/11"	11349.12
	"Alabama"	"01"	"Dec, 2008"	"2008/12"	8951.13
	"Alabama"	"01"	"Jan, 2009"	"2009/01"	9969.26
	"Alabama"	"01"	"Feb, 2009"	"2009/02"	12930.62
	"Alabama"	"01"	"Mar, 2009"	"2009/03"	16357.71
	"Alabama"	"01"	"Apr, 2009"	"2009/04"	20588.00
	"Alabama"	"01"	"May, 2009"	"2009/05"	20643.28
	"Alabama"	"01"	"Jun, 2009"	"2009/06"	26002.51
	"Alabama"	"01"	"Jul, 2009"	"2009/07"	25343.92
	"Alabama"	"01"	"Aug, 2009"	"2009/08"	21524.10
	"Alabama"	"01"	"Sep, 2009"	"2009/09"	16003.97
	"Alabama"	"01"	"Oct, 2009"	"2009/10"	14060.79
	"Alabama"	"01"	"Nov, 2009"	"2009/11"	11885.50
	"Alabama"	"01"	"Dec, 2009"	"2009/12"	8986.67
	"Alabama"	"01"	"Jan, 2010"	"2010/01"	10160.75
	"Alabama"	"01"	"Feb, 2010"	"2010/02"	12634.35
	"Alabama"	"01"	"Mar, 2010"	"2010/03"	15978.68
	"Alabama"	"01"	"Apr, 2010"	"2010/04"	22229.13
	"Alabama"	"01"	"May, 2010"	"2010/05"	23112.50
	"Alabama"	"01"	"Jun, 2010"	"2010/06"	23315.67
	"Alabama"	"01"	"Jul, 2010"	"2010/07"	24537.53
	"Alabama"	"01"	"Aug, 2010"	"2010/08"	19922.14
	"Alabama"	"01"	"Sep, 2010"	"2010/09"	20650.70
	"Alabama"	"01"	"Oct, 2010"	"2010/10"	17838.69
	"Alabama"	"01"	"Nov, 2010"	"2010/11"	10863.03
	"Alabama"	"01"	"Dec, 2010"	"2010/12"	9272.24
	"Alabama"	"01"	"Jan, 2011"	"2011/01"	10108.21
	"Alabama"	"01"	"Feb, 2011"	"2011/02"	13189.26
	"Alabama"	"01"	"Mar, 2011"	"2011/03"	18000.20
	"Alabama"	"01"	"Apr, 2011"	"2011/04"	22188.08
	"Alabama"	"01"	"May, 2011"	"2011/05"	25910.81
	"Alabama"	"01"	"Jun, 2011"	"2011/06"	26686.64
	"Alabama"	"01"	"Jul, 2011"	"2011/07"	22010.16
	"Alabama"	"01"	"Aug, 2011"	"2011/08"	24485.79
	"Alabama"	"01"	"Sep, 2011"	"2011/09"	18453.62
	"Alabama"	"01"	"Oct, 2011"	"2011/10"	16529.15
	"Alabama"	"01"	"Nov, 2011"	"2011/11"	11208.44
	"Alabama"	"01"	"Dec, 2011"	"2011/12"	9711.10
"Total"	"Alabama"	"01"			16957.34
	"Arizona"	"04"	"Jan, 1979"	"1979/01"	10297.08
	"Arizona"	"04"	"Feb, 1979"	"1979/02"	14709.67
	"Arizona"	"04"	"Mar, 1979"	"1979/03"	18461.44
	"Arizona"	"04"	"Apr, 1979"	"1979/04"	24771.05
	"Arizona"	"04"	"May, 1979"	"1979/05"	27764.38
	"Arizona"	"04"	"Jun, 1979"	"1979/06"	28713.05
	"Arizona"	"04"	"Jul, 1979"	"1979/07"	26063.34
	"Arizona"	"04"	"Aug, 1979"	"1979/08"	23154.78
	"Arizona"	"04"	"Sep, 1979"	"1979/09"	21241.82
	"Arizona"	"04"	"Oct, 1979"	"1979/10"	17265.22
	"Arizona"	"04"	"Nov, 1979"	"1979/11"	12823.92
	"Arizona"	"04"	"Dec, 1979"	"1979/12"	10975.68
	"Arizona"	"04"	"Jan, 1980"	"1980/01"	10122.21
